source,target,weight
TAF1 , Q9WMX2,1
NAP1L1 , Q9WMX2,1
JUN , Q9WMX2,1
PKM , Q9WMX2,1
ACTN1 , Q9WMX2,1
SERTAD1 , Q9WMX2,1
PICK1 , Q9WMX2,1
KPNA1 , Q9WMX2,1
DDX3X , Q9WMX2,1
LMNB1 , Q9WMX2,1
SLIT2 , Q9WMX2,1
STAT3 , Q9WMX2,1
GNB2 , Q9WMX2,1
GLYR1 , Q9WMX2,1
GOLGA2 , Q9WMX2,1
GON4L , Q9WMX2,1
GIN1 , Q9WMX2,1
GFAP , Q9WMX2,1
HIVEP2 , Q9WMX2,1
HOXD8 , Q9WMX2,1
GBP2 , Q9WMX2,1
HSFX2 , Q9WMX2,1
INF2 , Q9WMX2,1
INO80E , Q9WMX2,1
GAA , Q9WMX2,1
ITGAL , Q9WMX2,1
ITGB1 , Q9WMX2,1
FXYD6-FXYD2 , Q9WMX2,1
FUCA2 , Q9WMX2,1
FTH1 , Q9WMX2,1
FRS3 , Q9WMX2,1
FRMPD4 , Q9WMX2,1
JAG2 , Q9WMX2,1
KANSL2 , Q9WMX2,1
KIAA1549 , Q9WMX2,1
KIAA2022 , Q9WMX2,1
FLAD1 , Q9WMX2,1
KIF17 , Q9WMX2,1
KIF7 , Q9WMX2,1
FIGNL1 , Q9WMX2,1
FHL2 , Q9WMX2,1
FES , Q9WMX2,1
LAMA5 , Q9WMX2,1
LAMC3 , Q9WMX2,1
LDB1 , Q9WMX2,1
FBN3 , Q9WMX2,1
FBN1 , Q9WMX2,1
LIMS2 , Q9WMX2,1
LPXN , Q9WMX2,1
LRRC7 , Q9WMX2,1
FBF1 , Q9WMX2,1
FAM65A , Q9WMX2,1
FAM208B , Q9WMX2,1
FAM178A , Q9WMX2,1
LRRCC1 , Q9WMX2,1
FAM135A , Q9WMX2,1
FAM120B , Q9WMX2,1
LRRTM1 , Q9WMX2,1
MEGF6 , Q9WMX2,1
MEGF8 , Q9WMX2,1
MLLT4 , Q9WMX2,1
MLXIP , Q9WMX2,1
MOB1A , Q9WMX2,1
